Antoine-Charles Glachant,Antoine Glachant,"Glachant, Antoine",,
Dieudonné-Félix Godefroid,Félix Godefroid,"Godefroid, Félix",,
Jules Joseph Godefroid,Jules Godefroid,"Godefroid, Jules",,
Carlo Gomes,Carlos Gomes,"Gomes, Carlos",,
François Joseph Gossec ,François-Joseph Gossec   ,"Gossec, François-Joseph",,
Giuseppe Grassi de Jannon,Giuseppe Grassi de Joannon,"Grassi de Joannon, Giuseppe",,
Guillaume Frédéric Greive,Guillaume Greive,"Greive, Guillaume",,
Fulgenzio Guerrieri,Fulgenzio Guerriero Guerrieri,"Guerrieri, Fulgenzio Guerriero",,
Guillon de Loise ,__ Guillon de Loise     ,"Guillon de Loise, __",,
Václav Matyás Gurecký,Václav Matyáš Gurecký,"Gurecký, Václav Matyáš ",,
__ Guthmann ,Félicité Guthmann     ,"Guthmann, Félicité",,
Jean-Noлl Hamal,Jean-Noël Hamal,"Hamal, Jean-Noël ",,
Jan Hanus,Jan Hanuš,"Hanuš, Jan",,
Paul Hartmann von Aue der Lan-Hochbrunn ,Paul Hartmann von An der Lan-Hochbrunn     ,"Hartmann von An der Lan-Hochbrunn, Paul",,
__ Hasler ,Karel Hasler    ,"Hasler, Karel",,
Johann von Hasslinger-Hassingen,Johann Hasslinger von Hassingen,"Hassingen, Johann Hasslinger von ",,
Alois Hnilicka,Alois Hnilička,"Hnilička, Alois",,
Adriana Hölsky ,Adriana Hölszky     ,"Hölszky, Adriana",,
Ondrej Frantisek Holý,Ondřej František Holý,"Holý, Ondřej František ",,
G. Hörger ,Georg Hörger     ,"Hörger, Georg",,
Cyril Metodej Hrazdira,Cyril Metoděj Hrazdira,"Hrazdira, Cyril Metoděj ",,
Stevan Hristic,Stevan Hristić,"Hristić, Stevan",,
Paul Xavier Desiré d'Ivry ,Paul de Richard d’Ivry     ,"Ivry, Paul de Richard d’",,
Elisabeth-Claude Jacquet de la Guerre ,Élisabeth Jacquet de La Guerre     ,"Jacquet de La Guerre, Élisabeth",,
Leos Janácek,Leoš Janáček,"Janáček, Leoš ",,
Josef Jerábek,Josef Jeřábek,"Jeřábek, Josef",,
Jaroslav Jeremiás,Jaroslav Jeremiáš,"Jeremiáš, Jaroslav",,
Otakar Jeremiás,Otakar Jeremiáš,"Jeremiáš, Otakar",,
Jean Marie Josse ,Jean-Marie Josse     ,"Josse, Jean-Marie",,
Julius Juzeliunas,Julius Juzeliūnas,"Juzeliūnas, Julius",,
Alfreds Kalnins,Alfrēds Kalniņš,"Kalniņš, Alfrēds",,
Imants Kalnins,Imants Kalniņš,"Kalniņš, Imants",,
Janis Kalnins,Jānis Kalniņš,"Kalniņš, Jānis",,
Maciej Kamienski,Maciej Kamieński,"Kamieński, Maciej",,
Václav Kaslík,Václav Kašlík,"Kašlík, Václav",,
Stanislaw Kazuro,Stanisław Kazuro,"Kazuro, Stanisław",,
Wiktor Kazynski,Wiktor Każyński,"Każyński, Wiktor",,
Janis Kepitis,Jānis Kepitis,"Kepitis, Jānis",,
H. Kern ,Henri Kern     ,"Kern, Henri",,
Gerhard Keussler,Gerhard von Keussler,"Keussler, Gerhard von ",,
Jan Bedrich Kittl,Jan Bedřich Kittl,"Kittl, Jan Bedřich ",,
Josef Klicka,Josef Klička,"Klička, Josef",,
Petar Konjovic,Petar Konjović,"Konjović, Petar",,
Miloslav Korinek,Miloslav Kořínek,"Kořínek, Miloslav",,
Sergey Cortes  ,Sergey Albertovich Kortes     ,"Kortes, Sergey Albertovich",,
Dusan Kostic,Dusan Kostić,"Kostić, Dusan",,
Frantisek Bedrich Kott,František Bedřich Kott,"Kott, František Bedřich ",,
Frantisek Kovaricek,František Kovaříček,"Kovaříček, František",,
Karel Kovarovic,Karel Kovařovic,"Kovařovic, Karel",,
Johann Evangelist Anton Kozeluch,Johann Antonín Kozeluch,"Kozeluch, Johann Antonín ",,
Johann Antonin Kozeluch,Johann Antonín Kozeluch,"Kozeluch, Johann Antonín ",,
Isa Krejcí,Iša Krejčí,"Krejčí, Iša",,
Miroslav Krejcí,Miroslav Krejčí,"Krejčí, Miroslav",,
Charles Frédéric Kreubé ,Charles-Frédéric Kreubé      ,"Kreubé, Charles-Frédéric",,
Jaroslav Kricka,Jaroslav Křička,"Křička, Jaroslav",,
Józef Wladyslaw Krogulski,Józef Władysław Krogulski,"Krogulski, Józef Władysław ",,
Petar Krstic,Petar Krstić,"Krstić, Petar",,
Wenzel Josef Krug-Waldsee ,Josef Krug-Waldsee     ,"Krug-Waldsee, Josef",,
Igor Kuljeric,Igor Kuljerić,"Kuljerić, Igor",,
R. Kurmann ,Robert Kurmann     ,"Kurmann, Robert",,
Karol Kazimierz Kurpinski,Karol Kazimierz Kurpiński,"Kurpiński, Karol Kazimierz ",,
Alessandro Fochet La Motte ,Alessandro La Motte    ,"La Motte, Alessandro",,
Dieter de la Motte ,Diether de La Motte     ,"La Motte, Diether de",,
Franz Lachner ,Franz Paul Lachner     ,"Lachner, Franz Paul ",,
