Nazim Hikmet,Nâzım Hikmet,"Hikmet, Nâzım",,
Frantisek Hlavatý,František Hlavatý,"Hlavatý, František",,
H. D. Hoefft  ,Georg Jakob Hoefft     ,"Hoefft, Georg Jakob",,
François Benoît Hoffman,François-Benoît Hoffman,"Hoffman, François-Benoît ",,
W. F. Horak ,V. F. Horak     ,"Horak, V. F.",,
Stefan Hoza,Štefan Hoza,"Hoza, Štefan",,
Karel Hrncír,Karel Hrnčíř,"Hrnčíř, Karel",,
Frantisek Hrubín,František Hrubín,"Hrubín, František",,
Dragutin Ilic,Dragutin Ilić,"Ilić, Dragutin",,
[F. A. Lolli] Lisippo Imacheo,[Francesco Antonio Lolli] Lisippo Imacheo,"Imacheo, Lisippo [Francesco Antonio Lolli] ",,
Kazys Inciura,Kazys Inčiūra,"Inčiūra, Kazys",,
M. Ismail-zade ,Mirza Abdulgadir Ismailzade    ,"Ismailzade, Mirza Abdulgadir",,
Paul Xavier Desiré d'Ivry ,Paul de Richard d’Ivry     ,"Ivry, Paul de Richard d’",,
Jaroslaw Iwaszkiewicz,Jarosław Iwaszkiewicz,"Iwaszkiewicz, Jarosław",,
Cvjetko Jakelic,Cvjetko Jakelić,"Jakelić, Cvjetko",,
Jean François Joseph Jalabert ,Jean-François-Joseph Jalabert     ,"Jalabert, Jean-François-Joseph",,
Leos Janácek,Leoš Janáček,"Janáček, Leoš",,
Hanus Jelínek,Hanuš Jelínek,"Jelínek, Hanuš",,
Otakar Jeremiás,Otakar Jeremiáš,"Jeremiáš, Otakar",,
Ruzena Jesenská,Růžena Jesenská,"Jesenská, Růžena",,
Kazimiery Jezewska,Kazimiera Jeżewska,"Jeżewska, Kazimiera",,
Armand François Jouslin de la Salle ,Armand-François Jouslin de La Salle     ,"Jouslin de La Salle, Armand-François",,
Victor Joseph Étienne de Jouy ,Étienne de Jouy     ,"Jouy, Étienne de ",,
Josip Jurcic,Josip Jurčič,"Jurčič, Josip",,
Julius Juzeliunas,Julius Juzeliūnas,"Juzeliūnas, Julius",,
__ Kachler ,Johann Kachler     ,"Kachler, Johann",,
Illes Kaczér,Illés Kaczér,"Kaczér, Illés",,
Alfreds Kalnins,Alfrēds Kalniņš,"Kalniņš, Alfrēds",,
Janis Kalnins,Jānis Kalniņš,"Kalniņš, Jānis",,
Jan Nepomucen Kaminski,Jan Nepomucen Kamiński,"Kamiński, Jan Nepomucen ",,
Jirí Karásek,Jiří Karásek,"Karásek, Jiří",,
Václav Kaslík,Václav Kašlík,"Kašlík, Václav",,
Stanislaw Kasprzysiak,Stanisław Kasprzysiak,"Kasprzysiak, Stanisław",,
Antonije Kassowitz-Cvijic,Antonije Kassowitz–Cvijić,"Kassowitz–Cvijić, Antonije",,
[Bedrich Remes] B. Kaznicov,[Bedřich Remes] B. Kaznicov,"Kaznicov, B. [Bedřich Remes]",,
Stanislaw Kazuro,Stanisław Kazuro,"Kazuro, Stanisław",,
Petras Keidosius,Petras Keidošius,"Keidošius, Petras",,
Viktor Khalip ,Vladimir Khalip      ,"Khalip, Vladimir",,
Frantisek Khol,František Khol,"Khol, František",,
Alexandru Kiritescu,Alexandru Kirițescu,"Kirițescu, Alexandru",,
Antonín Klásterský,Antonín Klášterský,"Klášterský, Antonín",,
S. Klimkovich ,Svetlana Klimkovich    ,"Klimkovich, Svetlana",,
Adam Klodzinski,Adam Kłodziński,"Kłodziński, Adam",,
Franciszek Dionizy Kniaznin,Franciszek Dionizy Kniaźnin,"Kniaźnin, Franciszek Dionizy ",,
Ferdo Kocevar,Ferdo Kočevar,"Kočevar, Ferdo",,
Josef Kolar,Josef Jiří Kolár,"Kolár, Josef Jiří ",,
Matija Koletic,Matija Koletić,"Koletić, Matija",,
Jovan Konjovic,Jovan Konjović,"Konjović, Jovan",,
Milos Kopecký,Miloš Kopecký,"Kopecký, Miloš",,
Józef Korwin Krasinski,Józef Korwin-Krasiński,"Korwin-Krasiński, Józef",,
Laza Kostic,Laza Kostić,"Kostić, Laza",,
Frantisek Kozík,František Kožík,"Kožík, František",,
Michal Dymitr Krajewski,Michał Dymitr Krajewski,"Krajewski, Michał Dymitr ",,
[Jindriska Pechová] Eliska Krásnohorská,[Jindřiška Pechová] Eliška Krásnohorská,"Krásnohorská, Eliška [Jindřiška Pechová]",,
Jela Krcméry-Vrtelová,Jela Krčméry-Vrtelová,"Krčméry-Vrtelová, Jela",,
Isa Krejcí,Iša Krejčí,"Krejčí, Iša",,
Jaroslav Kricka,Jaroslav Křička,"Křička, Jaroslav",,
Petr Kricka,Petr Křička,"Křička, Petr",,
Antonín Kropácek,Antonín Kropáček,"Kropáček, Antonín",,
Juliusz Krzewinski-Maszynski,Juliusz Krzewiński-Maszyński,"Krzewiński-Maszyński, Juliusz",,
Frantisek Kubka,František Kubka,"Kubka, František",,
Otakar Kucera,Otakar Kučera,"Kučera, Otakar",,
Martin Kukucin,Martin Kukučín,"Kukučín, Martin",,
Josip Kulundzic,Josip Kulundžić,"Kulundžić, Josip",,
Ludvik Kundera,Ludvík Kundera,"Kundera, Ludvík",,
Pierre-Claude Nivelle de la Chaussée ,Pierre-Claude La Chaussée     ,"La Chaussée, Pierre-Claude",,
F. de La Chesneraye ,Félix de La Chesneraye     ,"La Chesneraye, Félix de",,
Antoine Houdar de Lamotte ,Antoine Houdar de La Motte     ,"La Motte, Antoine Houdar de ",,
Dieter de la Motte ,Diether de La Motte     ,"La Motte, Diether de",,
Antoine-Jacques Labbet de Morambert ,Antoine-Jacques Labbet     ,"Labbet, Antoine-Jacques",,
Ferdinand-Simon de La Boullaye ,Ferdinand de Laboullaye     ,"Laboullaye, Ferdinand de",,
Vilis Lacis,Vilis Lācis,"Lācis, Vilis",,
Jean-Henri-Ferdinand La Martellière ,Jean-Henri-Ferdinand Lamartellière     ,"Lamartellière, Jean-Henri-Ferdinand",,
Frantisek Lasek,František Lasek,"Lasek, František",,
Augustin-Théodore de Lauzanne de Vaux Rouxel ,Augustin Théodore de Lauzanne de Vauroussel      ,"Lauzanne de Vauroussel, Augustin Théodore de",,
Charles-Antoine Le Clerc de La Bruyere ,Charles-Antoine Le Clerc de La Bruère     ,"Le Clerc de La Bruère, Charles-Antoine",,
Charles-Hugues Lefebvre de Saint-Marc ,Charles-Hugues Le Febvre de Saint-Marc     ,"Le Febvre de Saint-Marc, Charles-Hugues",,
Jean Jacques Le Franc de Pompignan ,Jean-Jacques Le Franc de Pompignan,"Le Franc de Pompignan, Jean-Jacques",,
Edgar H. Lehrman,Edgar Harold Lehrman,"Lehrman, Edgar Harold ",,
G. Lelio ,Georges Lélio     ,"Lélio, Georges",,
Stanislaw Lem,Stanisław Lem,"Lem, Stanisław",,
__ Lemée ,E. Lemée     ,"Lemée, E.",,
Mihael Lendovsek,Mihael Lendovšek,"Lendovšek, Mihael",,
Auguste Lepoitevin de Légreville Saint-Alme ,Auguste Lepoitevin de L'Égreville     ,"Lepoitevin de L'Égreville, Auguste",,
Guillaume Denis Thomas Levrier Champ-Rion ,Guillaume-Denis-Thomas Levrier Champ-Rion,"Levrier Champ-Rion, Guillaume-Denis-Thomas",,
__ Liebetreu ,Karl Ferdinand Liebetreu     ,"Liebetreu, Karl Ferdinand",,
Józef Lipinski,Józef Lipiński,"Lipiński, Józef",,
Bernhard J. Lobeský,[Bernard Guldener] Bernhard J. Lobeský,"Lobeský, Bernhard J. [Bernard Guldener] ",,
George l'Orange ,Georg l'Orange     ,"l'Orange, Georg",,
C. Loevenberg ,T. Lövenberg     ,"Lövenberg, T.",,
Jan Löwenbach Budin,Jan Löwenbach-Budin,"Löwenbach-Budin, Jan",,
Tekla Lubienska,Tekla Łubieńska,"Łubieńska, Tekla",,
[Jules-Joseph-Gabriel de Lurieu] Joseph Gabriel,Gabriel de Lurieu,"Lurieu, Gabriel de ",,
Jadwiga Luszczewska,Jadwiga Łuszczewska,"Łuszczewska, Jadwiga",,
Simeon Karel Machácek,Simeon Karel Macháček,"Macháček, Simeon Karel ",,
__ Magnitot ,__ Magnito     ,"Magnito, __",,
Mirko Mahnic,Mirko Mahnič,"Mahnič, Mirko",,
Drahoslava Makovicky,Drahoslava Makovičky,"Makovičky, Drahoslava",,
P. Malot ,René Malot     ,"Malot, René",,
Zbysek Malý,Zbyšek Malý,"Malý, Zbyšek",,
Ludek Mandaus,Luděk Mandaus,"Mandaus, Luděk",,
Jirí Maránek,Jiří Mařánek,"Mařánek, Jiří",,
Pierre-Augustin Lefebvre de Marcouville ,Pierre-Augustin Lefèvre de Marcouville      ,"Marcouville, Pierre-Augustin Lefèvre de",,
Franjo Markovic,Franjo Marković,"Marković, Franjo",,
F. Marmocchi,Francesco Marmocchi,"Marmocchi, Francesco",,
Bohuslav Martinu,Bohuslav Martinů,"Martinů, Bohuslav",,
Karel Masek,Karel Mašek,"Mašek, Karel",,
Nada Mauerová,Nad'a Mauerová,"Mauerová, Nad'a ",,
François Marie Mayeur de Saint-Paul ,François-Marie Mayeur de Saint-Paul,"Mayeur de Saint-Paul, François-Marie",,
Edmond-Joseph Ennemond Mazères ,Édouard-Joseph-Ennemond Mazères     ,"Mazères, Édouard-Joseph-Ennemond",,
Catterino Mazzolа,Caterino Mazzolà,"Mazzolà, Caterino",,
Catterino Mazzolа,Catterino Mazzolà,"Mazzolà, Catterino",,
John Donald McClatchy,Joseph Donald McClatchy,"McClatchy, Joseph Donald ",,
J. Mehlhart ,Josef Mehlhart     ,"Mehlhart, Josef",,
[Miroslava Mellanová] Míla Mellanová,Míla Mellanová,"Mellanová, Míla",,
Marquis deMénilglaise ,__ Menilglaise     ,"Menilglaise, __",,
__ Mérini ,Fernand Mérini     ,"Mérini, Fernand",,
__ Ménard ,Jean-Baptiste Mesnard     ,"Mesnard, Jean-Baptiste",,
James A. Michener,James Albert Michener,"Michener, James Albert",,
Vladimír Mikes,Vladimír Mikeš,"Mikeš, Vladimír ",,
Vlada Mikstaite,Vlada Mikštaitė,"Mikštaitė, Vlada",,
Dimitur Miladinovic,Dimitur Miladinović,"Miladinović, Dimitur",,
Jean-Baptiste-Gabriel-Marie Milcent,Jean-Baptiste-Gabriel-Marie de Milcent,"Milcent, Jean-Baptiste-Gabriel-Marie de ",,
Stjepan Miletic,Stjepan Miletić,"Miletić, Stjepan",,
Oscar-Vladislas de Lubisez Milosz ,Oscar Vladislas de Lubicz Milosz     ,"Milosz, Oscar Vladislas de Lubicz",,
Alexandre Guillaume Mouslier de Moissy ,Alexandre-Guillaume de Moissy     ,"Moissy, Alexandre-Guillaume de",,
Marie-Émilie Mayon de Montanclos ,Marie-Émilie de Montanclos     ,"Montanclos, Marie-Émilie de",,
